"sales_order_id";"sales_order_detail_id";"sales_detail_item";"items_per_order";"order_qty";"product_id";"unit_price";"percentage_discount"
"75061";"121161";"1";"4";"1";"932";"24.9900";"0.2000"
"75061";"121162";"2";"4";"1";"922";"3.9900";"0.2000"
"75061";"121163";"3";"4";"1";"711";"34.9900";"0.2000"
"75061";"121164";"4";"4";"1";"860";"24.4900";"0.2000"
"75062";"121165";"1";"1";"1";"931";"21.4900";"0.1000"
"75063";"121166";"1";"4";"1";"931";"21.4900";"0.1500"
"75063";"121167";"2";"4";"1";"922";"3.9900";"0.1500"
"75063";"121168";"3";"4";"1";"708";"34.9900";"0.1500"
"75063";"121169";"4";"4";"1";"882";"53.9900";"0.1500"
"75064";"121170";"1";"3";"1";"922";"3.9900";"0.1000"
"75064";"121171";"2";"3";"1";"875";"8.9900";"0.1000"
"75064";"121172";"3";"3";"1";"880";"54.9900";"0.1000"
"75065";"121173";"1";"1";"1";"933";"32.6000";"0.0000"
"75066";"121174";"1";"3";"1";"922";"3.9900";"0.2000"
"75066";"121175";"2";"3";"1";"932";"24.9900";"0.2000"
"75066";"121176";"3";"3";"1";"864";"63.5000";"0.2000"
"75067";"121177";"1";"2";"1";"931";"21.4900";"0.0000"
"75067";"121178";"2";"2";"1";"873";"2.2900";"0.0000"
"75068";"121179";"1";"3";"1";"922";"3.9900";"0.2000"
"75068";"121180";"2";"3";"1";"931";"21.4900";"0.2000"
"75068";"121181";"3";"3";"1";"711";"34.9900";"0.2000"
"75069";"121182";"1";"4";"1";"923";"4.9900";"0.0500"
"75069";"121183";"2";"4";"1";"708";"34.9900";"0.0500"
"75069";"121184";"3";"4";"1";"714";"49.9900";"0.0500"
"75069";"121185";"4";"4";"1";"712";"8.9900";"0.0500"
"75070";"121186";"1";"1";"1";"928";"24.9900";"0.0000"
"75071";"121187";"1";"3";"1";"921";"4.9900";"0.0500"
"75071";"121188";"2";"3";"1";"928";"24.9900";"0.0500"
"75071";"121189";"3";"3";"1";"873";"2.2900";"0.0500"
"75072";"121190";"1";"2";"1";"922";"3.9900";"0.2000"
"75072";"121191";"2";"2";"1";"933";"32.6000";"0.2000"
"75073";"121192";"1";"2";"1";"928";"24.9900";"0.2000"
"75073";"121193";"2";"2";"1";"873";"2.2900";"0.2000"
"75074";"121194";"1";"3";"1";"922";"3.9900";"0.2000"
"75074";"121195";"2";"3";"1";"933";"32.6000";"0.2000"
"75074";"121196";"3";"3";"1";"711";"34.9900";"0.2000"
"75075";"121197";"1";"4";"1";"929";"29.9900";"0.0000"
"75075";"121198";"2";"4";"1";"921";"4.9900";"0.0000"
"75075";"121199";"3";"4";"1";"711";"34.9900";"0.0000"
"75075";"121200";"4";"4";"1";"714";"49.9900";"0.0000"
"75076";"121201";"1";"3";"1";"871";"9.9900";"0.1500"
"75076";"121202";"2";"3";"1";"860";"24.4900";"0.1500"
"75076";"121203";"3";"3";"1";"870";"4.9900";"0.1500"
"75077";"121204";"1";"4";"1";"871";"9.9900";"0.2000"
"75077";"121205";"2";"4";"1";"870";"4.9900";"0.2000"
"75077";"121206";"3";"4";"1";"880";"54.9900";"0.2000"
"75077";"121207";"4";"4";"1";"877";"7.9500";"0.2000"
"75078";"121208";"1";"4";"1";"871";"9.9900";"0.1500"
"75078";"121209";"2";"4";"1";"870";"4.9900";"0.1500"
"75078";"121210";"3";"4";"1";"716";"49.9900";"0.1500"
"75078";"121211";"4";"4";"1";"712";"8.9900";"0.1500"
"75079";"121212";"1";"2";"1";"870";"4.9900";"0.2000"
"75079";"121213";"2";"2";"1";"865";"63.5000";"0.2000"
"75080";"121214";"1";"2";"1";"865";"63.5000";"0.1000"
"75080";"121215";"2";"2";"1";"869";"69.9900";"0.1000"
"75081";"121216";"1";"2";"1";"878";"21.9800";"0.1500"
"75081";"121217";"2";"2";"1";"880";"54.9900";"0.1500"
"75082";"121218";"1";"2";"1";"922";"3.9900";"0.1500"
"75082";"121219";"2";"2";"1";"713";"49.9900";"0.1500"
"75083";"121220";"1";"2";"1";"921";"4.9900";"0.2000"
"75083";"121221";"2";"2";"1";"930";"35.0000";"0.2000"
