"sales_order_id";"order_date";"ship_date";"due_date";"customer_id";"tax_amount";"freight"
"75084";"2026-01-05";"2026-01-12";"2026-01-17";"11078";"9.6000";"3.0000"
"75085";"2026-01-05";"2026-01-12";"2026-01-17";"11927";"1.3552";"0.4235"
"75086";"2026-01-05";"2026-01-12";"2026-01-17";"28789";"0.6360";"0.1988"
"75087";"2026-01-05";"2026-01-12";"2026-01-17";"11794";"2.7992";"0.8748"
"75088";"2026-01-05";"2026-01-12";"2026-01-17";"14680";"9.1168";"2.8490"
"75089";"2026-01-05";"2026-01-12";"2026-01-17";"19585";"4.8376";"1.5118"
"75090";"2026-01-05";"2026-01-12";"2026-01-17";"27686";"5.9984";"1.8745"
"75091";"2026-01-05";"2026-01-12";"2026-01-17";"20601";"6.4376";"2.0118"
"75092";"2026-01-05";"2026-01-12";"2026-01-17";"26564";"3.9976";"1.2493"
"75093";"2026-01-05";"2026-01-12";"2026-01-17";"16170";"12.5272";"3.9148"
"75094";"2026-01-05";"2026-01-12";"2026-01-17";"16927";"0.6360";"0.1988"
"75095";"2026-01-05";"2026-01-12";"2026-01-17";"11657";"4.3192";"1.3498"
"75096";"2026-01-05";"2026-01-12";"2026-01-17";"11287";"7.1176";"2.2243"
"75097";"2026-01-05";"2026-01-12";"2026-01-17";"21717";"3.5984";"1.1245"
"75098";"2026-01-05";"2026-01-12";"2026-01-17";"23381";"2.9816";"0.9318"
"75099";"2026-01-05";"2026-01-12";"2026-01-17";"21163";"5.8344";"1.8233"
"75100";"2026-01-05";"2026-01-12";"2026-01-17";"13350";"6.2784";"1.9620"
"75101";"2026-01-05";"2026-01-12";"2026-01-17";"20201";"10.6792";"3.3373"
"75102";"2026-01-05";"2026-01-12";"2026-01-17";"19893";"9.5984";"2.9995"
"75103";"2026-01-05";"2026-01-12";"2026-01-17";"18529";"3.1984";"0.9995"
"75104";"2026-01-05";"2026-01-12";"2026-01-17";"17151";"1.0352";"0.3235"
"75105";"2026-01-05";"2026-01-12";"2026-01-17";"15160";"7.9168";"2.4740"
"75106";"2026-01-05";"2026-01-12";"2026-01-17";"14474";"0.5824";"0.1820"
"75107";"2026-01-05";"2026-01-12";"2026-01-17";"14029";"4.5576";"1.4243"
"75108";"2026-01-05";"2026-01-12";"2026-01-17";"21347";"0.3992";"0.1248"
"75109";"2026-01-05";"2026-01-12";"2026-01-17";"14114";"6.8384";"2.1370"
"75110";"2026-01-05";"2026-01-12";"2026-01-17";"13753";"6.7936";"2.1230"
"75111";"2026-01-05";"2026-01-12";"2026-01-17";"19072";"3.9176";"1.2243"
"75112";"2026-01-05";"2026-01-12";"2026-01-17";"21523";"3.1184";"0.9745"
"75113";"2026-01-05";"2026-01-12";"2026-01-17";"21524";"9.1968";"2.8740"
"75114";"2026-01-05";"2026-01-12";"2026-01-17";"24704";"1.7192";"0.5373"
"75115";"2026-01-05";"2026-01-12";"2026-01-17";"26832";"6.4376";"2.0118"
"75116";"2026-01-05";"2026-01-12";"2026-01-17";"16402";"0.3992";"0.1248"
"75117";"2026-01-05";"2026-01-12";"2026-01-17";"18178";"2.3584";"0.7370"
"75118";"2026-01-05";"2026-01-12";"2026-01-17";"13671";"10.8184";"3.3808"
"75119";"2026-01-05";"2026-01-12";"2026-01-17";"11981";"3.3824";"1.0570"
"75120";"2026-01-05";"2026-01-12";"2026-01-17";"18749";"6.7968";"2.1240"
"75121";"2026-01-05";"2026-01-12";"2026-01-17";"15251";"5.9984";"1.8745"
"75122";"2026-01-05";"2026-01-12";"2026-01-17";"15868";"2.4776";"0.7743"
"75123";"2026-01-05";"2026-01-12";"2026-01-17";"18759";"15.1976";"4.7493"
