"sales_order_id";"sales_order_detail_id";"sales_detail_item";"items_per_order";"order_qty";"product_id";"unit_price";"percentage_discount"
"75084";"121222";"1";"1";"1";"876";"120.0000";"0.0000"
"75085";"121223";"1";"2";"1";"712";"8.9900";"0.1500"
"75085";"121224";"2";"2";"1";"877";"7.9500";"0.1500"
"75086";"121225";"1";"1";"1";"877";"7.9500";"0.0000"
"75087";"121226";"1";"1";"1";"707";"34.9900";"0.0000"
"75088";"121227";"1";"4";"1";"922";"3.9900";"0.0500"
"75088";"121228";"2";"4";"1";"932";"24.9900";"0.0500"
"75088";"121229";"3";"4";"1";"711";"34.9900";"0.0500"
"75088";"121230";"4";"4";"1";"713";"49.9900";"0.0500"
"75089";"121231";"1";"3";"1";"931";"21.4900";"0.1500"
"75089";"121232";"2";"3";"1";"922";"3.9900";"0.1500"
"75089";"121233";"3";"3";"1";"711";"34.9900";"0.1500"
"75090";"121234";"1";"3";"1";"921";"4.9900";"0.0000"
"75090";"121235";"2";"3";"1";"930";"35.0000";"0.0000"
"75090";"121236";"3";"3";"1";"708";"34.9900";"0.0000"
"75091";"121237";"1";"3";"1";"931";"21.4900";"0.0000"
"75091";"121238";"2";"3";"1";"922";"3.9900";"0.0000"
"75091";"121239";"3";"3";"1";"880";"54.9900";"0.0000"
"75092";"121240";"1";"3";"1";"931";"21.4900";"0.1000"
"75092";"121241";"2";"3";"1";"859";"24.4900";"0.1000"
"75092";"121242";"3";"3";"1";"922";"3.9900";"0.1000"
"75093";"121243";"1";"3";"1";"922";"3.9900";"0.1000"
"75093";"121244";"2";"3";"1";"933";"32.6000";"0.1000"
"75093";"121245";"3";"3";"1";"876";"120.0000";"0.1000"
"75094";"121246";"1";"1";"1";"877";"7.9500";"0.0500"
"75095";"121247";"1";"1";"1";"881";"53.9900";"0.0000"
"75096";"121248";"1";"3";"1";"922";"3.9900";"0.2000"
"75096";"121249";"2";"3";"1";"711";"34.9900";"0.2000"
"75096";"121250";"3";"3";"1";"716";"49.9900";"0.2000"
"75097";"121251";"1";"2";"1";"871";"9.9900";"0.0000"
"75097";"121252";"2";"2";"1";"708";"34.9900";"0.0000"
"75098";"121253";"1";"3";"1";"921";"4.9900";"0.2000"
"75098";"121254";"2";"3";"1";"929";"29.9900";"0.2000"
